"generation","best_feasible","penalty_weight","instance","seed"
1,12874265,5,8,1008
2,12947495,5,8,1008
3,12947495,5,8,1008
4,13020880,5,8,1008
5,13020880,5,8,1008
6,13020880,5,8,1008
7,13020880,5,8,1008
8,13020880,5,8,1008
9,13020880,5,8,1008
10,13020880,5,8,1008
11,13020880,5,8,1008
12,13058481,5,8,1008
13,13058481,5,8,1008
14,13058481,5,8,1008
15,13058481,5,8,1008
16,13058481,5,8,1008
17,13058481,5,8,1008
18,13058481,5,8,1008
19,13192189,5,8,1008
20,13192189,5,8,1008
21,13192189,5,8,1008
22,13192189,5,8,1008
23,13192189,5,8,1008
24,13192189,5,8,1008
25,13192189,5,8,1008
26,13192189,5,8,1008
27,13192189,5,8,1008
28,13192189,5,8,1008
29,13192189,5,8,1008
30,13192189,5,8,1008
31,13192189,5,8,1008
32,13192189,5,8,1008
33,13192189,5,8,1008
34,13192189,5,8,1008
35,13192189,5,8,1008
36,13397438,5,8,1008
37,13397438,5,8,1008
38,13397438,5,8,1008
39,13494864,5,8,1008
40,13494864,5,8,1008
41,13494864,5,8,1008
42,13494864,5,8,1008
43,13494864,5,8,1008
44,13494864,5,8,1008
45,13494864,5,8,1008
46,13494864,5,8,1008
47,13494864,5,8,1008
48,13494864,5,8,1008
49,13494864,5,8,1008
50,13494864,5,8,1008
51,13494864,5,8,1008
52,13494864,5,8,1008
53,13494864,5,8,1008
54,13494864,5,8,1008
55,13494864,5,8,1008
56,13494864,5,8,1008
57,13494864,5,8,1008
58,13494864,5,8,1008
59,13494864,5,8,1008
60,13494864,5,8,1008
61,13494864,5,8,1008
62,13494864,5,8,1008
63,13494864,5,8,1008
64,13494864,5,8,1008
65,13494864,5,8,1008
66,13494864,5,8,1008
67,13494864,5,8,1008
68,13494864,5,8,1008
69,13494864,5,8,1008
70,13494864,5,8,1008
71,13494864,5,8,1008
72,13494864,5,8,1008
73,13494864,5,8,1008
74,13494864,5,8,1008
75,13494864,5,8,1008
76,13494864,5,8,1008
77,13494864,5,8,1008
78,13494864,5,8,1008
79,13494864,5,8,1008
80,13494864,5,8,1008
81,13494864,5,8,1008
82,13494864,5,8,1008
83,13494864,5,8,1008
84,13494864,5,8,1008
85,13494864,5,8,1008
86,13494864,5,8,1008
87,13494864,5,8,1008
88,13494864,5,8,1008
89,13494864,5,8,1008
90,13494864,5,8,1008
91,13494864,5,8,1008
92,13494864,5,8,1008
93,13494864,5,8,1008
94,13494864,5,8,1008
95,13494864,5,8,1008
96,13494864,5,8,1008
97,13494864,5,8,1008
98,13494864,5,8,1008
99,13494864,5,8,1008
100,13494864,5,8,1008
