"generation","best_feasible","penalty_weight","instance","seed"
1,12933164,2,6,1006
2,13142474,2,6,1006
3,13142474,2,6,1006
4,13142474,2,6,1006
5,13142474,2,6,1006
6,13142474,2,6,1006
7,13142474,2,6,1006
8,13142474,2,6,1006
9,13142474,2,6,1006
10,13142474,2,6,1006
11,13142474,2,6,1006
12,13142474,2,6,1006
13,13154136,2,6,1006
14,13154136,2,6,1006
15,13154136,2,6,1006
16,13154136,2,6,1006
17,13154136,2,6,1006
18,13154136,2,6,1006
19,13154136,2,6,1006
20,13154136,2,6,1006
21,13154136,2,6,1006
22,13154136,2,6,1006
23,13154136,2,6,1006
24,13154136,2,6,1006
25,13154136,2,6,1006
26,13154136,2,6,1006
27,13154136,2,6,1006
28,13154136,2,6,1006
29,13154136,2,6,1006
30,13154136,2,6,1006
31,13154136,2,6,1006
32,13154136,2,6,1006
33,13154136,2,6,1006
34,13154136,2,6,1006
35,13154136,2,6,1006
36,13154136,2,6,1006
37,13154136,2,6,1006
38,13154136,2,6,1006
39,13154136,2,6,1006
40,13154136,2,6,1006
41,13154136,2,6,1006
42,13154136,2,6,1006
43,13154136,2,6,1006
44,13154136,2,6,1006
45,13154136,2,6,1006
46,13154136,2,6,1006
47,13154136,2,6,1006
48,13154136,2,6,1006
49,13154136,2,6,1006
50,13154136,2,6,1006
51,13154136,2,6,1006
52,13154136,2,6,1006
53,13154136,2,6,1006
54,13154136,2,6,1006
55,13154136,2,6,1006
56,13154136,2,6,1006
57,13154136,2,6,1006
58,13154136,2,6,1006
59,13154136,2,6,1006
60,13154136,2,6,1006
61,13154136,2,6,1006
62,13154136,2,6,1006
63,13154136,2,6,1006
64,13154136,2,6,1006
65,13154136,2,6,1006
66,13154136,2,6,1006
67,13154136,2,6,1006
68,13247836,2,6,1006
69,13247836,2,6,1006
70,13247836,2,6,1006
71,13247836,2,6,1006
72,13247836,2,6,1006
73,13247836,2,6,1006
74,13247836,2,6,1006
75,13247836,2,6,1006
76,13261396,2,6,1006
77,13261396,2,6,1006
78,13261396,2,6,1006
79,13261396,2,6,1006
80,13261396,2,6,1006
81,13261396,2,6,1006
82,13261396,2,6,1006
83,13310838,2,6,1006
84,13310838,2,6,1006
85,13310838,2,6,1006
86,13310838,2,6,1006
87,13310838,2,6,1006
88,13310838,2,6,1006
89,13310838,2,6,1006
90,13310838,2,6,1006
91,13310838,2,6,1006
92,13310838,2,6,1006
93,13310838,2,6,1006
94,13310838,2,6,1006
95,13310838,2,6,1006
96,13310838,2,6,1006
97,13310838,2,6,1006
98,13310838,2,6,1006
99,13310838,2,6,1006
100,13310838,2,6,1006
