"penalty_weight","instance","bart_best","ga_best","optimality_gap","feasibility_pct","n_feasible","n_total","x_best"
10,1,13038491,13277720,1.80173252636748,82.3076923076923,214,260,"000100111100001110100110"
10,2,12933892,13299072,2.7459058797486,80.3846153846154,209,260,"010101000110100110110000"
10,3,12964712,13280458,2.37752342577342,80.3846153846154,209,260,"110010001010110011110000"
10,4,13025562,13278279,1.90323610461868,73.0769230769231,190,260,"110011010000110110100110"
10,5,13106623,13389478,2.11251700775788,82.6923076923077,215,260,"110011100010110111001100"
10,6,12956188,12989220,0.254303183716959,83.0769230769231,216,260,"011010100010011100100100"
10,7,13070708,13256022,1.39796086638963,78.4615384615385,204,260,"100110001101110011000110"
10,8,13325841,13407437,0.608587607012436,79.2307692307692,206,260,"100100001111001100010111"
10,9,13010562,13262453,1.89927911525869,79.2307692307692,206,260,"110100010100101110000011"
10,10,13021329,13268534,1.86309203413128,72.3076923076923,188,260,"011011100100101100011111"
