"generation","best_feasible","penalty_weight","instance","seed"
1,13063536,10,3,1003
2,13129507,10,3,1003
3,13129507,10,3,1003
4,13129507,10,3,1003
5,13129507,10,3,1003
6,13129507,10,3,1003
7,13129507,10,3,1003
8,13129507,10,3,1003
9,13129507,10,3,1003
10,13129507,10,3,1003
11,13129507,10,3,1003
12,13129507,10,3,1003
13,13129507,10,3,1003
14,13129507,10,3,1003
15,13129507,10,3,1003
16,13129507,10,3,1003
17,13129507,10,3,1003
18,13129507,10,3,1003
19,13129507,10,3,1003
20,13129507,10,3,1003
21,13129507,10,3,1003
22,13129507,10,3,1003
23,13129507,10,3,1003
24,13129507,10,3,1003
25,13129507,10,3,1003
26,13129507,10,3,1003
27,13129507,10,3,1003
28,13129507,10,3,1003
29,13129507,10,3,1003
30,13129507,10,3,1003
31,13129507,10,3,1003
32,13129507,10,3,1003
33,13129507,10,3,1003
34,13243936,10,3,1003
35,13243936,10,3,1003
36,13243936,10,3,1003
37,13243936,10,3,1003
38,13243936,10,3,1003
39,13243936,10,3,1003
40,13243936,10,3,1003
41,13243936,10,3,1003
42,13243936,10,3,1003
43,13243936,10,3,1003
44,13243936,10,3,1003
45,13243936,10,3,1003
46,13243936,10,3,1003
47,13243936,10,3,1003
48,13243936,10,3,1003
49,13243936,10,3,1003
50,13275073,10,3,1003
51,13275073,10,3,1003
52,13275073,10,3,1003
53,13275073,10,3,1003
54,13275073,10,3,1003
55,13275073,10,3,1003
56,13275073,10,3,1003
57,13275073,10,3,1003
58,13275073,10,3,1003
59,13275073,10,3,1003
60,13275073,10,3,1003
61,13275073,10,3,1003
62,13275073,10,3,1003
63,13275073,10,3,1003
64,13275073,10,3,1003
65,13275073,10,3,1003
66,13275073,10,3,1003
67,13275073,10,3,1003
68,13275073,10,3,1003
69,13275073,10,3,1003
70,13275073,10,3,1003
71,13325447,10,3,1003
72,13326861,10,3,1003
73,13326861,10,3,1003
74,13326861,10,3,1003
75,13326861,10,3,1003
76,13326861,10,3,1003
77,13326861,10,3,1003
78,13326861,10,3,1003
79,13326861,10,3,1003
80,13326861,10,3,1003
81,13326861,10,3,1003
82,13326861,10,3,1003
83,13326861,10,3,1003
84,13326861,10,3,1003
85,13326861,10,3,1003
86,13326861,10,3,1003
87,13326861,10,3,1003
88,13326861,10,3,1003
89,13326861,10,3,1003
90,13326861,10,3,1003
91,13326861,10,3,1003
92,13326861,10,3,1003
93,13326861,10,3,1003
94,13326861,10,3,1003
95,13326861,10,3,1003
96,13326861,10,3,1003
97,13326861,10,3,1003
98,13326861,10,3,1003
99,13326861,10,3,1003
100,13326861,10,3,1003
