"generation","best_feasible","penalty_weight","instance","seed"
1,12727140,10,4,1004
2,12887152,10,4,1004
3,12936697,10,4,1004
4,12936697,10,4,1004
5,12936697,10,4,1004
6,13047683,10,4,1004
7,13047683,10,4,1004
8,13047683,10,4,1004
9,13047683,10,4,1004
10,13047683,10,4,1004
11,13047683,10,4,1004
12,13113414,10,4,1004
13,13113414,10,4,1004
14,13113414,10,4,1004
15,13113414,10,4,1004
16,13113414,10,4,1004
17,13113414,10,4,1004
18,13113414,10,4,1004
19,13113414,10,4,1004
20,13113414,10,4,1004
21,13113414,10,4,1004
22,13113414,10,4,1004
23,13113414,10,4,1004
24,13113414,10,4,1004
25,13113414,10,4,1004
26,13113414,10,4,1004
27,13113414,10,4,1004
28,13113414,10,4,1004
29,13113414,10,4,1004
30,13113414,10,4,1004
31,13113414,10,4,1004
32,13113414,10,4,1004
33,13113414,10,4,1004
34,13113414,10,4,1004
35,13113414,10,4,1004
36,13199994,10,4,1004
37,13226368,10,4,1004
38,13226368,10,4,1004
39,13226368,10,4,1004
40,13226368,10,4,1004
41,13226368,10,4,1004
42,13226368,10,4,1004
43,13226368,10,4,1004
44,13226368,10,4,1004
45,13226368,10,4,1004
46,13226368,10,4,1004
47,13226368,10,4,1004
48,13226368,10,4,1004
49,13226368,10,4,1004
50,13226368,10,4,1004
51,13226368,10,4,1004
52,13226368,10,4,1004
53,13226368,10,4,1004
54,13265801,10,4,1004
55,13265801,10,4,1004
56,13265801,10,4,1004
57,13265801,10,4,1004
58,13265801,10,4,1004
59,13265801,10,4,1004
60,13265801,10,4,1004
61,13265801,10,4,1004
62,13265801,10,4,1004
63,13265801,10,4,1004
64,13265801,10,4,1004
65,13265801,10,4,1004
66,13265801,10,4,1004
67,13266231,10,4,1004
68,13266231,10,4,1004
69,13266231,10,4,1004
70,13266231,10,4,1004
71,13266231,10,4,1004
72,13266231,10,4,1004
73,13266231,10,4,1004
74,13266231,10,4,1004
75,13266231,10,4,1004
76,13266231,10,4,1004
77,13266231,10,4,1004
78,13266231,10,4,1004
79,13266231,10,4,1004
80,13266231,10,4,1004
81,13266231,10,4,1004
82,13266231,10,4,1004
83,13266231,10,4,1004
84,13266231,10,4,1004
85,13266231,10,4,1004
86,13266231,10,4,1004
87,13266231,10,4,1004
88,13266231,10,4,1004
89,13266231,10,4,1004
90,13266231,10,4,1004
91,13266231,10,4,1004
92,13266231,10,4,1004
93,13266231,10,4,1004
94,13266231,10,4,1004
95,13266231,10,4,1004
96,13266231,10,4,1004
97,13266231,10,4,1004
98,13266231,10,4,1004
99,13266231,10,4,1004
100,13266231,10,4,1004
