"generation","best_feasible","penalty_weight","instance","seed"
1,12893016,1,5,1005
2,12893016,1,5,1005
3,12893016,1,5,1005
4,13250039,1,5,1005
5,13250039,1,5,1005
6,13250039,1,5,1005
7,13307077,1,5,1005
8,13307077,1,5,1005
9,13307077,1,5,1005
10,13307077,1,5,1005
11,13307077,1,5,1005
12,13307077,1,5,1005
13,13307077,1,5,1005
14,13307077,1,5,1005
15,13307077,1,5,1005
16,13307077,1,5,1005
17,13307077,1,5,1005
18,13307077,1,5,1005
19,13307077,1,5,1005
20,13307077,1,5,1005
21,13307077,1,5,1005
22,13307077,1,5,1005
23,13307077,1,5,1005
24,13307077,1,5,1005
25,13307077,1,5,1005
26,13307077,1,5,1005
27,13307077,1,5,1005
28,13307077,1,5,1005
29,13307077,1,5,1005
30,13307077,1,5,1005
31,13307077,1,5,1005
32,13307077,1,5,1005
33,13307077,1,5,1005
34,13307077,1,5,1005
35,13307077,1,5,1005
36,13307077,1,5,1005
37,13307077,1,5,1005
38,13307077,1,5,1005
39,13307077,1,5,1005
40,13307077,1,5,1005
41,13307077,1,5,1005
42,13307077,1,5,1005
43,13307077,1,5,1005
44,13307077,1,5,1005
45,13307077,1,5,1005
46,13307077,1,5,1005
47,13307077,1,5,1005
48,13307077,1,5,1005
49,13307077,1,5,1005
50,13307077,1,5,1005
51,13307077,1,5,1005
52,13307077,1,5,1005
53,13307077,1,5,1005
54,13307077,1,5,1005
55,13307077,1,5,1005
56,13307077,1,5,1005
57,13307077,1,5,1005
58,13357054,1,5,1005
59,13357054,1,5,1005
60,13357054,1,5,1005
61,13357054,1,5,1005
62,13357054,1,5,1005
63,13357054,1,5,1005
64,13357054,1,5,1005
65,13357054,1,5,1005
66,13357054,1,5,1005
67,13357054,1,5,1005
68,13357054,1,5,1005
69,13357054,1,5,1005
70,13357054,1,5,1005
71,13357054,1,5,1005
72,13357054,1,5,1005
73,13357054,1,5,1005
74,13357054,1,5,1005
75,13357054,1,5,1005
76,13357054,1,5,1005
77,13357054,1,5,1005
78,13363813,1,5,1005
79,13363813,1,5,1005
80,13363813,1,5,1005
81,13363813,1,5,1005
82,13363813,1,5,1005
83,13363813,1,5,1005
84,13363813,1,5,1005
85,13363813,1,5,1005
86,13363813,1,5,1005
87,13363813,1,5,1005
88,13363813,1,5,1005
89,13363813,1,5,1005
90,13363813,1,5,1005
91,13363813,1,5,1005
92,13363813,1,5,1005
93,13363813,1,5,1005
94,13363813,1,5,1005
95,13363813,1,5,1005
96,13363813,1,5,1005
97,13363813,1,5,1005
98,13363813,1,5,1005
99,13363813,1,5,1005
100,13363813,1,5,1005
