"penalty_weight","instance","bart_best","ga_best","optimality_gap","feasibility_pct","n_feasible","n_total","x_best"
2,1,13038491,13277720,1.80173252636748,83.8461538461539,218,260,"000100111100001110100110"
2,2,13102688,13299072,1.47667446269935,76.5384615384615,199,260,"110011000010110111011100"
2,3,13094910,13280458,1.39715061031781,75,195,260,"000010001110100110101000"
2,4,13209474,13278279,0.518177092076466,70,182,260,"110010000100111101000111"
2,5,13036135,13389478,2.63896023429741,79.6153846153846,207,260,"111100100000101110001111"
2,6,13270952,12989220,-2.16896780561111,78.0769230769231,203,260,"110010000110101100011011"
2,7,13098897,13256022,1.18531034423449,78.4615384615385,204,260,"010010010100110111010110"
2,8,13350599,13407437,0.423928898565774,77.6923076923077,202,260,"110011000111000111000111"
2,9,13251292,13262453,0.0841548693895466,85.7692307692308,223,260,"110101100111100011010111"
2,10,13098672,13268534,1.28018664307602,80,208,260,"100110100111000110100001"
